ABET	VBOO; 
artefacts	 kunswerke;  kunsprodukte;  werktuie; artefakte; 
article	 klerkskap;  lit; artikel;  lidwoord; 
articles	artikels;  litte;  klerkskappe;  lidwoorde; 
articulate	 artikuleer;  geartikuleer; duidelik; 
articulated	geartikuleer;  verbinde; 
artist	kunstenaar;  arties; 
artistic	 kunstig; kunstige; 
artists	kunstenares; artieste; 
arts	kunste;  kuns-; 
artwork	 druktekenwerk;  illustrasiewerk; kunswerk; 
artworks	kunswerke;  druktekenwerke;  illustrasiewerke; 
as	 soos;  net of;  wanneer;  indien;  buiten;  in die hoedanigheid van, behalwe;  asof;  ingeval; as;  spil;  oorskot; 
ascertain	 uitvind;  navraag doen; verseker;  vasstel;  vergewis;  vind;  bepaal; 
aside	tersyde; 
ask	vra; 
asked	gevraagde; 
asking	het gevra; 
asks	vra; 
aspect	aspek; 
aspects	aspekte; 
aspiration	 lugsuiging; strewe;  insuiging;  afsuiging;  aspirasie; 
aspirations	 strewes; aspirasies; 
assault	aanranding;  aanval;  aanrand; 
assembly	 montasie;  saamstel;  opskepdiens; vergadering;  byeenkoms;  montering;  opstelling;  aanmekaarhegting;  samestel;  samestelling; 
assent	toestemming; 
assented	 het toegestem; het toestemming gegee; 
assert	 aanspraak maak op, staande hou;  laat geld;  beweer;  handhaaf; bevestig; 
assess	 vasstel;  takseer;  assesseer;  evalueer;  raam; bepaal;  skat;  waardeer; 
assessed	 geassesseerde;  raamde;  gewaardeerde;  vasgestelde;  geskatte; geëvalueerde;  getakseerde; bepaalde; 
assesses	 vasstel;  takseer;  assesseer;  evalueer;  raam; bepaal;  skat;  waardeer; 
assessing	 vasstel;  takseer;  assesseer;  evalueer;  raam; bepaal;  skat;  waardeer; 
assessment	aanslag;  waardasie;  raming;  evaluering;  taksering;  bepaling;  assessering; 
assessments	bepalings;  waardasies;  evaluerings;  assesserings;  aanslagte;  ramings;  takserings; 
assessors	assessore; 
asset	bate; 
assets	bates; 
assign	 aanwys;  oormaak;  toewys;  afstaan; aanstel;  toewyser; 
assigned	 toewysers;  oorgemaakte; aangewese;  toegewese;  afgestane;  aanstelde; 
assignment	 toewysing;  taak; oordrag;  opdrag; 
assist	help;  vergemaklik;  assisteer;  fasiliteer; 
assistance	ondersteuning;  hulp; 
assistant	assistent; 
assisted	 geassisteerde; gefasiliteerde;  het vergemaklik;  het gehelp; 
assisting	help;  vergemaklik;  assisteer;  fasiliteer; 
assists	help;  vergemaklik;  assisteer;  fasiliteer; 
associated	 bybehorende; geassosieer; 
